respondent_id,leader
353,National Geographic
354,Nicholas Felton
355,Pudding
355,538
355,New York Times
355,Mike Bostock
356,Ryan Sleeper
356,Andy Kriebel
357,Shirley Wu
358,Stephen Few
359,Stephen Few
359,Alberto Cairo
359,Andy Kirk
359,Robert Kosara
360,Storytelling with Data
361,Susie Lu
362,Tableau Zen Masters
373,Alberto Cairo
374,Andy Kirk
374,Alberto Cairo
374,Elijah Meeks
374,Moritz Stefaner
374,Nadieh Bremer
375,Elijah Meeks
375,Mike Bostock
375,Maarten Lambrechts
375,Nadieh Bremer
375,Mara Averick
375,Shirley Wu
376,Mike Bostock
377,Mike Bostock
377,Elijah Meeks
377,Andy Kirk
378,Ryan Sleeper
378,Andy Cotgreave
378,Stephanie Evergreen
378,Matt Francis
379,Stephanie Evergreen
383,Mike Bostock
384,Mike Bostock
385,Mike Bostock
385,Brett Victor
385,Matt Conlen
390,Elijah Meeks
390,Nadieh Bremer
390,Moritz Stefaner
391,Amanda Cox
392,Simon Rogers
396,Ann Emery
396,Stephanie Evergreen
396,Cole Knaflic
396,dataViz Today podcast
397,Robert Kosara
397,Cole Knafflic
397,Anya A’Hearn
400,Alberto Cairo
401,Alberto Cairo
401,Andy Kirk
401,Giorgia Lupi
401,Nadieh Bremer
401,New York Times
401,Washington Post
401,SCMP
401,Bloomberg
402,Andy Kirk
403,Cole Knafflic
404,Edward Tufte
404,Alberto Cairo
404,Giorgia Lupi
404,Elijah Meeks
404,Gregor Aisch
404,Mona Chalabi
404,Jonathan Schwabish
404,Stefanie Posavec
404,Nadieh Bremer
404,RJ Andrews
404,Amanda Cox
404,Lynn Cherny
404,Jorge Camoes
404,Jonathan Corum
404,Maarten Lambrechts
404,Rob Simmon
404,Stephanie Evergreen
404,Hannah Fairfield
404,Robert Kosara
405,Edward Tufte
405,Cole Knaflic
405,Alberto Cairo
405,Hans Rosling
406,Edward Tufte
406,Feynman
406,The Upshot
406,538
406,The Guardian
407,Gregor Aisch
408,Lisa Charlotte Rost
408,Elijah Meeks
408,Alberto Cairo
409,Mike Bostock
410,Mike Bostock
411,Mike Bostock
411,Alberto Cairo
412,Nadieh Bremer
413,Stephen Few
425,Cole Knaflic
426,New York Times
426,Wall Street Journal
426,Joshua Stevens
431,Mike Bostock
432,Tamara Munzner
433,The Upshot
433,Pudding
443,Mike Bostock
444,Hadley Wickham
444,Stephanie Evergreen
444,Anne Emery
444,Jon Schwabish
446,Alberto Cairo
447,Cleveland
448,Edward Tufte
449,Edward Tufte
449,Cole Knaflic
450,Elijah Meeks
451,Mike Bostock
452,Moritz Stefaner
452,Kim Rees
452,Amanda Cox
452,Lynn Cherney
453,Susie Lu
453,Elijah Meeks
464,Krzysztof Lenk
465,Mike Bostock
465,Ben Shneiderman
465,Fernanda Viégas
466,Nathan Yau
466,Manuel Lima
469,Lena Groeger
